"species"	"body_length_max"	"body_mass_max"	"testes_mass_max"	"references"
"Balaena_mysticetus"	1800	90000000	163000	"{Burns, 1993 #8916}"
"Balaenoptera_acutorostrata"	880	9200000	8800	"{Tomilin, 1967 #8919}"
"Balaenoptera_borealis"	1520	"NA"	16400	"{Perry, 1999 #8934}"
"Balaenoptera_edeni"	1500	40000000	20000	"{Tomilin, 1967 #8919}"
"Balaenoptera_musculus"	2700	150000000	70000	"{Tomilin, 1967 #8919}"
"Balaenoptera_physalus"	2400	90000000	58300	"{Jefferson, 2008 #8917}"
"Caperea_marginata"	550	"NA"	1900	"{Baker, 1985 #8935}"
"Cephalorhynchus_commersonii"	174	86000	930	"{Goodall, 1994 #8939}"
"Delphinus_capensis"	250	235000	3785	"{Jefferson, 2008 #8917;Ross, 1979 #8918}"
"Delphinus_delphis"	270	200000	5000	"{Jefferson, 2008 #8917}"
"Eschrichtius_robustus"	1500	45000000	67500	"{Tomilin, 1967 #8919}"
"Eubalaena_australis"	1700	90000000	972000	"{Best, 2001 #8920}"
"Eubalaena_glacialis"	1700	90000000	972000	"{Best, 2001 #8920}"
"Feresa_attenuata"	264	225000	754	"{Jefferson, 2008 #8917}"
"Globicephala_macrorhynchus"	700	3600000	7000	"{Jefferson, 2008 #8917}"
"Globicephala_melas"	670	2320000	12300	"{Jefferson, 2008 #8917;Desportes, 1993 #8922}"
"Grampus_griseus"	383	500000	10600	"{Jefferson, 2008 #8917;Perrin, 1984 #8923}"
"Inia_geoffrensis"	255	207000	1600	"{Jefferson, 2008 #8917;Best, 1989 #8921}"
"Kogia_breviceps"	425	417000	10000	"{Bloodworth, 2008 #8936;Caldwell, 1971 #8937;Tomilin, 1967 #8919;Ruiz, 1993 #8938}"
"Kogia_sima"	270	280000	2618	"{Ross, 1979 #8918}"
"Lagenorhynchus_acutus"	280	235000	740	"{Jefferson, 2008 #8917}"
"Lagenorhynchus_obliquidens"	250	200000	1118	"{Harrison, 1972 #8924}"
"Lissodelphis_borealis"	307	115000	1410	"{Harrison, 1972 #8924}"
"Megaptera_novaeangliae"	1700	40000000	4000	"{Jefferson, 2008 #8917}"
"Mesoplodon_carlhubbsi"	540	1500000	510	"{Jefferson, 2008 #8917;Mead, 1982 #8925}"
"Monodon_monoceros"	480	1600000	"NA"	"{Jefferson, 2008 #8917}"
"Neophocaena_phocaenoides"	200	55000	863	"{Kasuya, 1999 #8926}"
"Orcinus_orca"	975	10000000	23100	"{Jefferson, 2008 #8917;Ross, 1979 #8918}"
"Peponocephala_electra"	278	275000	4500	"{Jefferson, 2008 #8917}"
"Phocoena_phocoena"	180	61000	3515	"{Read, 1999 #8927}"
"Phocoenoides_dalli"	240	200000	560	"{Jefferson, 2008 #8917}"
"Physeter_catodon"	1800	57000000	12000	"{Jefferson, 2008 #8917}"
"Pontoporia_blainvillei"	160	50000	10.8	"{Jefferson, 2008 #8917}"
"Pseudorca_crassidens"	600	2000000	14800	"{Jefferson, 2008 #8917}"
"Stenella_attenuata"	257	120000	2896	"{Jefferson, 2008 #8917;Hohn, 1985 #8928}"
"Stenella_coeruleoalba"	256	160000	500	"{Miyazaki, 1977 #8929}"
"Stenella_frontalis"	230	140000	1210	"{Perrin, 1994 #8931}"
"Stenella_longirostris"	235	82000	2708	"{Jefferson, 2008 #8917}"
"Steno_bredanensis"	265	160000	2660	"{Miyazaki, 1994 #8930}"
"Tursiops_aduncus"	270	230000	"NA"	"{Wells, 1999 #8932}"
"Tursiops_truncatus"	381	650000	1966	"{Perrin, 1984 #8923}"
"Ziphius_cavirostris"	700	3000000	4200	"{Omura, 1955 #8933}"
